sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:14275","MRPL1","mitochondrial ribosomal protein L1","","BM022,uL1m","4q21.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14056","MRPL2","mitochondrial ribosomal protein L2","","MRP-L14,RPML14,CGI-22,uL2m","6p21.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:10379","MRPL3","mitochondrial ribosomal protein L3","RPML3","MRL3,uL3m","3q22.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14276","MRPL4","mitochondrial ribosomal protein L4","","CGI-28,uL4m","19p13.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14055","MRPL10","mitochondrial ribosomal protein L10","","RPML8,MRP-L8,L10MT,MRP-L10,MRPL8,MGC17973,uL10m","17q21.32","Large subunit mitochondrial ribosomal proteins"
"HGNC:14042","MRPL11","mitochondrial ribosomal protein L11","","uL11m","11q13.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:10378","MRPL12","mitochondrial ribosomal protein L12","RPML12","MRPL7/L12,MRPL7,bL12m","17q25.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14278","MRPL13","mitochondrial ribosomal protein L13","","L13,RPL13,L13mt,RPML13,L13A,uL13m","8q24.12","Large subunit mitochondrial ribosomal proteins"
"HGNC:14279","MRPL14","mitochondrial ribosomal protein L14","","RPML32,MRP-L32,uL14m","6p21.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14054","MRPL15","mitochondrial ribosomal protein L15","","RPML7,MRP-L7,HSPC145,L15mt,MRP-L15,uL15m","8q11.23","Large subunit mitochondrial ribosomal proteins"
"HGNC:14476","MRPL16","mitochondrial ribosomal protein L16","","FLJ20484,PNAS-111,uL16m","11q12.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14053","MRPL17","mitochondrial ribosomal protein L17","","RPML26,MRP-L26,bL17m","11p15.4","Large subunit mitochondrial ribosomal proteins"
"HGNC:14477","MRPL18","mitochondrial ribosomal protein L18","","HSPC071,uL18m","6q25.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14052","MRPL19","mitochondrial ribosomal protein L19","","MRP-L15,RPML15,KIAA0104,RLX1,bL19m","2p12","Large subunit mitochondrial ribosomal proteins"
"HGNC:14478","MRPL20","mitochondrial ribosomal protein L20","","FLJ10024,bL20m","1p36.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:14479","MRPL21","mitochondrial ribosomal protein L21","","bL21m","11q13.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14480","MRPL22","mitochondrial ribosomal protein L22","","MRP-L25,RPML25,HSPC158,uL22m","5q33.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:10322","MRPL23","mitochondrial ribosomal protein L23","RPL23L","L23MRP,uL23m","11p15.5","Large subunit mitochondrial ribosomal proteins"
"HGNC:14037","MRPL24","mitochondrial ribosomal protein L24","","MRP-L18,uL24m","1q23.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14483","MRPL27","mitochondrial ribosomal protein L27","","bL27m","17q21.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:14484","MRPL28","mitochondrial ribosomal protein L28","MAAT1","p15,bL28m","16p13.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14036","MRPL30","mitochondrial ribosomal protein L30","","MRP-L28,RPML28,uL30m","2q11.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14035","MRPL32","mitochondrial ribosomal protein L32","","HSPC283,L32mt,MRP-L32,bMRP-59b,bL32m","7p14.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14487","MRPL33","mitochondrial ribosomal protein L33","C2orf1","RPL33L,bL33m","2p23.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14488","MRPL34","mitochondrial ribosomal protein L34","","L34mt,MGC2633,MGC24974,bL34m","19p13.11","Large subunit mitochondrial ribosomal proteins"
"HGNC:14489","MRPL35","mitochondrial ribosomal protein L35","","bL35m","2p11.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14490","MRPL36","mitochondrial ribosomal protein L36","","RPMJ,L36mt,PRPL36,MRP-L36,bL36m","5p15.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:14034","MRPL37","mitochondrial ribosomal protein L37","","RPML2,MRP-L2,mL37","1p32.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14033","MRPL38","mitochondrial ribosomal protein L38","","RPML3,MRP-L3,HSPC262,MGC4810,mL38","17q25.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14027","MRPL39","mitochondrial ribosomal protein L39","","RPML5,MRP-L5,MGC104174,PRED66,PRED22,C21orf92,L39mt,MSTP003,MGC3400,FLJ20451,mL39","21q21.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14491","MRPL40","mitochondrial ribosomal protein L40","NLVCF","MRP-L22,mL40","22q11.21","Large subunit mitochondrial ribosomal proteins"
"HGNC:14492","MRPL41","mitochondrial ribosomal protein L41","","MRP-L27,RPML27,BMRP,PIG3,MRPL27,mL41","9q34.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14493","MRPL42","mitochondrial ribosomal protein L42","","MRPS32,MRP-L31,RPML31,PTD007,HSPC204,MRPL31,mL42","12q22","Large subunit mitochondrial ribosomal proteins"
"HGNC:14517","MRPL43","mitochondrial ribosomal protein L43","","bMRP36a,mL43","10q24.31","Large subunit mitochondrial ribosomal proteins"
"HGNC:16650","MRPL44","mitochondrial ribosomal protein L44","","FLJ12701,FLJ13990,mL44","2q36.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:16651","MRPL45","mitochondrial ribosomal protein L45","","MGC11321,Mba1,mL45","17q12","Large subunit mitochondrial ribosomal proteins"
"HGNC:1192","MRPL46","mitochondrial ribosomal protein L46","C15orf4","LIECG2,P2ECSL,mL46","15q25.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:16652","MRPL47","mitochondrial ribosomal protein L47","","CGI-204,NCM1,uL29m","3q26.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:16653","MRPL48","mitochondrial ribosomal protein L48","","CGI-118,mL48","11q13.4","Large subunit mitochondrial ribosomal proteins"
"HGNC:1176","MRPL49","mitochondrial ribosomal protein L49","C11orf4","NOF,NOF1,L49mt,mL49","11q13.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:16654","MRPL50","mitochondrial ribosomal protein L50","","FLJ20493,MRP-L50,mL50","9q31.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14044","MRPL51","mitochondrial ribosomal protein L51","MRP64","CDA09,HSPC241,bMRP64,mL51","12p13.31","Large subunit mitochondrial ribosomal proteins"
"HGNC:16655","MRPL52","mitochondrial ribosomal protein L52","","mL52","14q11.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:16684","MRPL53","mitochondrial ribosomal protein L53","","mL53","2p13.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:16685","MRPL54","mitochondrial ribosomal protein L54","","mL54","19p13.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:16686","MRPL55","mitochondrial ribosomal protein L55","","bL31m","1q42.13","Large subunit mitochondrial ribosomal proteins"
"HGNC:5359","MRPL58","mitochondrial ribosomal protein L58","ICT1","DS-1,mL62","17q25.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14514","MRPL57","mitochondrial ribosomal protein L57","MRP63","mL63","13q12.11","Large subunit mitochondrial ribosomal proteins"
"HGNC:29996","GADD45GIP1","GADD45G interacting protein 1","","PLINP-1,MGC4667,MGC4758,CKBBP2,PRG6,Plinp1,CRIF1,CKbetaBP2,mL64","19p13.13","Large subunit mitochondrial ribosomal proteins"
"HGNC:8769","MRPS30","mitochondrial ribosomal protein S30","PDCD9","PAP,mL65","5p12","Large subunit mitochondrial ribosomal proteins"
"HGNC:14515","MRPS18A","mitochondrial ribosomal protein S18A","","FLJ10548,MRPS18-3,mL66","6p21.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:10371","RPLP0","ribosomal protein lateral stalk subunit P0","","PRLP0,P0,L10E,RPP0,LP0,uL10","12q24.23","L ribosomal proteins"
"HGNC:10372","RPLP1","ribosomal protein lateral stalk subunit P1","","LP1,P1","15q23","L ribosomal proteins"
