human_gene_name,human_gene_acc,nmr_gene_name,nmr_gene_acc,perc_id,orthology_type,human_name_rep,nmr_name_rep,human_chr,nmr_chr
A2M,ENSG00000175899,A2m,ENSHGLG00000000871,77.7476,ortholog_one2one,1.0,1.0,12,5
A3GALT2,ENSG00000184389,A3GALT2,ENSHGLG00000012021,78.2353,ortholog_one2one,1.0,1.0,1,7
A4GALT,ENSG00000128274,A4GALT,ENSHGLG00000048655,77.0538,ortholog_one2one,1.0,1.0,22,5
A4GNT,ENSG00000118017,A4GNT,ENSHGLG00000014457,79.351,ortholog_one2one,1.0,1.0,3,8
AAAS,ENSG00000094914,AAAS,ENSHGLG00000002843,93.0147,ortholog_one2one,2.0,1.0,12,17
AADAT,ENSG00000109576,AADAT,ENSHGLG00000046534,77.4118,ortholog_one2one,1.0,1.0,4,6
AAGAB,ENSG00000103591,AAGAB,ENSHGLG00000038898,89.5238,ortholog_one2one,1.0,1.0,15,27
AAK1,ENSG00000115977,AAK1,ENSHGLG00000019132,92.4037,ortholog_one2one,1.0,1.0,2,4
AAMDC,ENSG00000087884,AAMDC,ENSHGLG00000003585,85.2459,ortholog_one2one,1.0,1.0,11,5
AAMP,ENSG00000127837,AAMP,ENSHGLG00000016373,98.1567,ortholog_one2one,1.0,1.0,2,25
AANAT,ENSG00000129673,AANAT,ENSHGLG00000006672,81.1594,ortholog_one2one,1.0,1.0,17,20
AAR2,ENSG00000131043,AAR2,ENSHGLG00000040665,93.2292,ortholog_one2one,1.0,1.0,20,15
AARS1,ENSG00000090861,AARS,ENSHGLG00000011756,95.8678,ortholog_one2one,1.0,1.0,16,7
AARSD1,ENSG00000266967,AARSD1,ENSHGLG00000046073,65.2913,ortholog_one2one,1.0,1.0,17,20
AASDH,ENSG00000157426,AASDH,ENSHGLG00000015134,82.878,ortholog_one2one,1.0,1.0,4,10
AASS,ENSG00000008311,AASS,ENSHGLG00000006193,87.905,ortholog_one2one,1.0,1.0,7,14
AATF,ENSG00000275700,AATF,ENSHGLG00000009510,86.25,ortholog_one2one,2.0,1.0,17,20
AATK,ENSG00000181409,AATK,ENSHGLG00000004598,75.0364,ortholog_one2one,1.0,1.0,17,20
ABAT,ENSG00000183044,ABAT,ENSHGLG00000006051,92.4,ortholog_one2one,1.0,1.0,16,23
ABCA1,ENSG00000165029,ABCA1,ENSHGLG00000011444,93.6311,ortholog_one2one,1.0,1.0,9,12
ABCA12,ENSG00000144452,ABCA12,ENSHGLG00000004765,89.7881,ortholog_one2one,1.0,1.0,2,25
ABCA13,ENSG00000179869,ABCA13,ENSHGLG00000010427,68.7252,ortholog_one2one,1.0,1.0,7,1
ABCA2,ENSG00000107331,ABCA2,ENSHGLG00000010424,93.0105,ortholog_one2one,1.0,1.0,9,12
ABCA3,ENSG00000167972,ABCA3,ENSHGLG00000007238,88.8498,ortholog_one2one,1.0,1.0,16,23
ABCA4,ENSG00000198691,ABCA4,ENSHGLG00000016293,88.9573,ortholog_one2one,1.0,1.0,1,19
ABCA5,ENSG00000154265,ABCA5,ENSHGLG00000001910,91.0202,ortholog_one2one,1.0,1.0,17,20
ABCA6,ENSG00000154262,ABCA6,ENSHGLG00000001770,71.5097,ortholog_one2one,1.0,1.0,17,20
ABCA7,ENSG00000064687,ABCA7,ENSHGLG00000013649,82.5256,ortholog_one2one,1.0,1.0,19,29
ABCA8,ENSG00000141338,ABCA8,ENSHGLG00000001160,71.7716,ortholog_one2one,1.0,1.0,17,20
ABCA9,ENSG00000154258,ABCA9,ENSHGLG00000001596,80.8844,ortholog_one2one,1.0,1.0,17,20
ABCB10,ENSG00000135776,ABCB10,ENSHGLG00000016571,78.8732,ortholog_one2one,1.0,1.0,1,9
ABCB11,ENSG00000073734,ABCB11,ENSHGLG00000003788,86.2226,ortholog_one2one,2.0,1.0,2,3
ABCB6,ENSG00000115657,ABCB6,ENSHGLG00000018842,87.6485,ortholog_one2one,1.0,1.0,2,25
ABCB7,ENSG00000131269,ABCB7,ENSHGLG00000011499,92.0213,ortholog_one2one,1.0,1.0,X,X
ABCB9,ENSG00000150967,ABCB9,ENSHGLG00000013347,91.1227,ortholog_one2one,1.0,1.0,12,23
ABCC1,ENSG00000103222,ABCC1,ENSHGLG00000005979,88.7655,ortholog_one2one,2.0,1.0,16,23
ABCC10,ENSG00000124574,ABCC10,ENSHGLG00000017199,84.1823,ortholog_one2one,1.0,1.0,6,13
ABCC2,ENSG00000023839,ABCC2,ENSHGLG00000014313,81.2176,ortholog_one2one,1.0,1.0,10,13
ABCC3,ENSG00000108846,ABCC3,ENSHGLG00000011309,81.6891,ortholog_one2one,1.0,1.0,17,20
ABCC4,ENSG00000125257,ABCC4,ENSHGLG00000011718,88.3774,ortholog_one2one,1.0,1.0,13,11
ABCC5,ENSG00000114770,ABCC5,ENSHGLG00000017333,96.3813,ortholog_one2one,1.0,1.0,3,8
ABCC6,ENSG00000091262,ABCC6,ENSHGLG00000009667,78.6143,ortholog_one2one,2.0,1.0,16,23
ABCC8,ENSG00000006071,ABCC8,ENSHGLG00000008993,95.2562,ortholog_one2one,1.0,1.0,11,5
ABCC9,ENSG00000069431,ABCC9,ENSHGLG00000014958,98.1278,ortholog_one2one,1.0,1.0,12,5
ABCD1,ENSG00000101986,ABCD1,ENSHGLG00000001000,90.274,ortholog_one2one,1.0,1.0,X,X
ABCD2,ENSG00000173208,ABCD2,ENSHGLG00000012569,94.0541,ortholog_one2one,1.0,1.0,12,17
ABCD3,ENSG00000117528,ABCD3,ENSHGLG00000009521,95.4407,ortholog_one2one,1.0,1.0,1,19
ABCD4,ENSG00000119688,ABCD4,ENSHGLG00000019040,89.8671,ortholog_one2one,1.0,1.0,14,26
ABCE1,ENSG00000164163,ABCE1,ENSHGLG00000001909,99.8331,ortholog_one2one,1.0,1.0,4,3
ABCF1,ENSG00000204574,ABCF1,ENSHGLG00000019209,90.7253,ortholog_one2one,7.0,1.0,6,OX090908.1
ABCF2,ENSG00000033050,ABCF2,ENSHGLG00000005286,93.7198,ortholog_one2one,1.0,1.0,7,22
ABCF3,ENSG00000161204,ABCF3,ENSHGLG00000016746,95.7687,ortholog_one2one,1.0,1.0,3,8
ABCG4,ENSG00000172350,ABCG4,ENSHGLG00000017291,96.13,ortholog_one2one,1.0,1.0,11,5
ABCG5,ENSG00000138075,ABCG5,ENSHGLG00000018455,76.8049,ortholog_one2one,1.0,1.0,2,4
ABCG8,ENSG00000143921,ABCG8,ENSHGLG00000016760,79.6434,ortholog_one2one,1.0,1.0,2,4
ABHD1,ENSG00000143994,ABHD1,ENSHGLG00000034110,78.7129,ortholog_one2one,1.0,1.0,2,4
